Legal Name,U SDOT Number,MC/MX/FF Numbers,Physical Address
OLD SPOKE LLC,3866851,MC-1414441,"3208 MAPLE RD
 
 BURLINGTON, WI   53105"
OHIO LUXURY TRANSPORTATION & AIRPORT SERVICE LLC,3791485,MC-1414270,"493 BALDWIN RD
 
 AKRON, OH   44312"
OD LOGISTICS LLC,3859317,MC-1409300,"9142 YORKSHIRE RD
 
 DETROIT, MI   48224"
OCTOPUS LOGISTICS LLC,3853430,MC-1405320,"7836 COTTONWOOD RDG
 
 BOERNE, TX   78015"
OCHOA Y M TRANSPORT CORP,1397593,MC-1409795,"1285 W 26TH PL APT 104
 
 HIALEAH, FL   33010"
OCEAN FREIGHT LINES INC,3865811,MC-1413750,"9S180 LAKE DR APT 207
 
 WILLOWBROOK, IL   60527"
OC & G LOGISTICS LLC,3868341,MC-1415467,"1402 LEMON ST
 
 OCEANSIDE, CA   92058"
OBERHOLTZER DELIVERY LLC,3865573,MC-1413578,"101 CENTER AVE
 
 TERRE HILL, PA   17581"
OBAKE FREIGHT LLC,3413158,MC-1101094,"1901 SYCAMORE DR
 
 KILLEEN, TX   76543"
O CARTER TRUCKING LLC,3819730,MC-1381762,"4428 OLD FREDERICK RD
 
 BALTIMORE, MD   21229"
O B'S EXPRESS LLC,3858316,MC-1408645,"5111 N 127TH ST
 
 OMAHA, NE   68164"
NY CARRIERS LLC,3787239,MC-1373626,"2440 N MILL RD UNIT A
 
 VINELAND, NJ   08360"
NW TENNESSEE MOVING LLC,3834242,MC-1392016,"1715 COLUMBIA AVE STE 330
 
 FRANKLIN, TN   37064"
NVA LOGISTICS LLC,3585617,MC-1224266,"620 DAYTON RD
 
 CHAMPLIN, MN   55316-1215"
NRNB LOGISTICS INC,3861362,MC-1410680,"3930 NW 7TH ST APT 519
 
 MIAMI, FL   33126"
NOYAN LLC,3858286,MC-1408625,"2109 ARLEIGH RD
 
 CINNAMINSON, NJ   08077"
NORTH GA EXCAVATION GROUP LLC,3396842,MC-1406040,"6946 COUNTY LINE RD
 
 LULA, GA   30554-3210"
NORTH COUNTRY TRUCKING LLC,3867092,MC-1414608,"25106 C60
 
 HINTON, IA   51024"
NOMADS EXPRESS LLC,3825158,MC-1385541,"2665 S REDWOOD RD #5
 
 WEST VALLEY CITY, UT   84119"
NOLASCO TRANSPORT INC,3841978,MC-1397508,"716 WESSMITH WAY
 
 MADERA, CA   93638"
NOE PANTALEON,3867249,MC-1414722,"28209 NELSONIA RD
 
 BLOXOM, VA   23308"
NOAHS TRUCKING INC,3862394,MC-1411360,"3238 FLOWER ST
 
 LYNWOOD, CA   90262"
NLC LOGISTICS LLC,3864041,MC-1412490,"5638 STEINKRAUS LN
 
 ABRAMS, WI   54101"
NL BEST TRANSPORT,3857666,MC-1408203,"69 TUCKER BROOK RD
 
 FRANCONIA, NH   03580"
NJN SERVICE LLC,3868471,MC-1415550,"120 MAPLEWOOD AVE
 
 CRANSTON, RI   02920"
NJ DOWNTOWN NUTRITION LLC,3869107,MC-1415950,"3107 N PINEWOOD DR
 
 HAMMONTON, NJ   08037"
NIPPON FREIGHT EXCHANGE LLC,3668678,MC-1271274,"6450 PARK ST E
 
 FIFE, WA   98424"
NINE TWELVE DIVINE LOGISTICS LLC,3828850,MC-1388186,"145 E 58TH ST
 
 SAVANNAH, GA   31405"
NIKO LOGISTICS LLC,3870105,MC-1417115,"243 CONKLINGTOWN RD
 
 GOSHEN, NY   10924-5603"
NIHAL TRANSPORT CORP,3620481,MC-1236499,"43 FITCH ST APT 2RR
 
 CARTERET, NJ   07008"
NIEVES TRANSPORT LLC,3853032,MC-1416506,"5400 COLLINS RD LOT 149
 
 JACKSONVILLE, FL   32244-5240"
NIELS & JR TRANSPORTATION LLC,3867326,MC-1414771,"3300 15TH ST W SPC 251
 
 ROSAMOND, CA   93560"
NHN EXPRESS LLC,3867906,MC-1415165,"8060 NE 100TH PL
 
 KANSAS CITY, MO   64157"
NEXTDEAL LLC,3823008,MC-1384022,"2243 W 2120 N
 
 LEHI, UT   84043"
NEW MENTALITY TRUCKING LLC,3867459,MC-1414853,"6838 W STANSBURY BLVD
 
 MCCORDSVILLE, IN   46055"
NEW LINES LOGISTICS INC,3869334,MC-1416106,"18700 N 107TH AVE STE 15 -16
 
 SUN CITY, AZ   85373"
NEW AGE TRUCKING LLC,3653497,MC-1416690,"3709 VERMONT AVE
 
 LOUISVILLE, KY   40212"
NEVIN S HORNING,3868917,MC-1415823,"809 TEMPERANCE HILL RD
 
 LITITZ, PA   17543"
NEREO VACA JR,3834647,MC-1394018,"236 S ANTHONY AVE
 
 STOCKTON, CA   95215-5906"
NELEJA GROUP LLC,3777646,MC-1359751,"5202 HALLDALE AVE
 
 LOS ANGELES, CA   90062-2845"
NEK TRANSPORTATION LLC,3862917,MC-1411710,"55 LORING ST
 
 BROCKTON, MA   02302"
ND TRANSPORTATION LLC,3871235,MC-1417378,"210 W HAMILTON AVE PMB 292
 
 STATE COLLEGE, PA   16801"
NATOEX FREIGHT INC,3590078,MC-1215696,"3122 SW 139 CT
 
 MIAMI, FL   33175"
NASH GLOBAL VENTURES LLC,3870155,MC-1416636,"10630 WILKINS AVE APT 302
 
 LOS ANGELES, CA   90024"
NAK TRANSPORTATION LLC,3869369,MC-1416131,"8244 DELAFIELD DR
 
 FORT WORTH, TX   76131"
NA TRANSPORT LLC,3266527,MC-1387080,"5172 CRIMSON PL
 
 RCH CUCAMONGA, CA   91739-2643"
N&H CARGO LLC,3847595,MC-1401367,"4018 LINDENWOOD LN
 
 GARLAND, TX   75042"
MYR TRUCKING SERVICE LLC,3858126,MC-1414779,"4200 NORTHERN CROSS BLVD APT 8205
 
 HALTOM CITY, TX   76137-6410"
MYCAH MIA LOGISTICS LLC,3869509,MC-1416217,"12122 REGATTA LN
 
 LA MARQUE, TX   77568"
MY PRECIOUS CARGO INC,3380745,MC-1085024,"4025 HEADSAIL DR
 
 NEW PRT RCHY, FL   34652"
MY FOUR SONS MAIM LLC,3848776,MC-1402178,"3003 CHRISTIANA WOODS CT
 
 LOUISVILLE, KY   40299"
MW FREIGHTLINES LP,3822271,MC-1383527,"6902 W FRAZIER LN
 
 WICHITA, KS   67212"
MVN TRUCKING LLC,3868659,MC-1415654,"7853 GOLDEN RING WAY
 
 ANTELOPE, CA   95843"
MUNOZ FREIGHT BROKERAGE LLC,3863985,MC-1412452,"307 N REPUBLIC ST
 
 WESLACO, TX   78596"
MUNIZ TRUCKING LLC,3868479,MC-1415555,"605 CARLITOS AVE
 
 N LAS VEGAS, NV   89031"
MTFC TRANSPORT INC,3859781,MC-1409619,"15777 PEAR ST
 
 CHINO HILLS, CA   91709"
MTAJ LOGISTICS LLC,3453986,MC-1125330,"8500 TURKEY OAKS DR
 
 JACKSONVILLE, FL   32277"
MT STONE TREE SERVICE INC,3308259,MC-1416622,"17316 140TH ST NW
 
 GIG HARBOR, WA   98329-5662"
MSR LLC,3871025,MC-1417243,"18 KERN ACRE DR
 
 JOHNSTON, RI   02919"
MSM EXPRESS INC,3508664,MC-1160628,"90 FERNDALE LN
 
 MINOA, NY   13116"
MS K TRUCKING LLC,3850372,MC-1403251,"342 COLLEGE DR LOT 2
 
 SIMMESPORT, LA   71369"
MRVARIETYFREIGHT LLC,3838018,MC-1415674,"2109 W 3RD ST
 
 CHESTER, PA   19013-2503"
MR TRANSPORT LLC,3858814,MC-1408963,"19 S 22ND ST APT 1
 
 CAMP HILL, PA   17011"
MR JAY BROWN LOGISTICS & MORE LLC,3871049,MC-1417259,"600 A D MOSLEY ST
 
 FERRIS, TX   75125"
MR J LOGISTICS LLC,3435374,MC-1114199,"4361 ALEXIS DR UNIT 342
 
 LAS VEGAS, NV   89103"
MR DEXTER TRANSPORTATION LLC,3871584,MC-1417599,"14439 HARPER AVE
 
 DOLTON, IL   60419"
MP TRANSPORTATION LLC,3871116,MC-1417297,"1211 S COCHRAN ST
 
 HOBBS, NM   88240"
MOVING GEEKS LLC,3620611,MC-1398927,"303 LASHLEY ST
 
 LONGMONT, CO   80501"
MOVING & MORE,3810948,MC-1375341,"1002 ARLINGTON DR
 
 TOMS RIVER, NJ   08755"
MOUNTAIN TRANSPORT COMPANY LLC,3869296,MC-1416075,"8279 W MOJAVE DR
 
 BOISE, ID   83709"
MOTORHEADS AUTO CARE LLC,3868673,MC-1415665,"109 S 6TH ST
 
 JEANNETTE, PA   15644"
MOTIVATED TO MOVE LLC,3870288,MC-1416743,"885 N BROOKFIELD RD
 
 BROOKFIELD, WI   53045"
MOST HIGH TRANSPORT LLC,3857365,MC-1408000,"130 CALLAWAY CRESENT
 
 STATESBORO, GA   30458"
MORS HOTSHOT LLC,3820518,MC-1382331,"18636 EISENHOWER ST
 
 SALINAS, CA   93906"
MORRIS TRANSPORTATION LLC,3862852,MC-1411673,"2457 W MOUNTAIN ST
 
 KERNERSVILLE, NC   27284"
MORIMOTO LLC,3869600,MC-1416279,"3407 N RIVER RAPIDS DR
 
 TUCSON, AZ   85712"
MORGAN PRIME LOGISTICS LLC,3866265,MC-1414036,"271 HIGHLAND AVE FL 1
 
 PASSAIC, NJ   07055"
MOOV LOGISTICS LLC,3783761,MC-1355560,"10631 ROYAL CYPRESS WAY
 
 ORLANDO, FL   32836"
MOORE BOYS TRANSPORTATION LLC,3854598,MC-1406099,"3129 GRIZZLY ST
 
 MERCED, CA   95341"
MOON TRUCKING LOGISTICS LLC,2943305,MC-1416491 MC-995815,"2572 CLEVELAND AVE
 
 COLUMBUS, OH   43211"
MOON SHINE TRANSPORTATION INC,3525036,MC-1171446,"6022 WAYNE AVE
 
 PENNSAUKEN, NJ   08110"
MONTRAC LLC,3870425,MC-1416846,"23824 SE 28TH ST
 
 SAMMAMISH, WA   98075"
MONSTROS DELIVERY LLC,3804078,MC-1370320,"7436 WALERTOWN WAY SE
 
 CALEDONIA, MI   49316"
MONICA STARS INC,3870366,MC-1416802,"6300 TOWER CIR APT 230
 
 FRANKLIN, TN   37067"
MOFI TRANSPORTION LLC,3754891,MC-1338360,"2635 W KENTUCKY ST
 
 LOUISVILLE, KY   40211"
MOE TRUCKING,3656658,MC-1262719,"215 ELMRIDGE DR
 
 LITTLE ROCK, AR   72211"
MJJ EXPRESS LLC,3868270,MC-1415416,"1800 KESWICK PLACE DR
 
 LAWRENCEVILLE, GA   30043"
MITCHELLS TRANSPORT LLC,3847754,MC-1401480,"1127 SUGARWOOD ST
 
 DAVENPORT, FL   33837"
MITCHAM TRANSPORTS LLC,3856946,MC-1407693,"9108 NEPTUNE DR
 
 INDIANAPOLIS, IN   46229"
MIRANDA TRUCKING LLC,3822262,MC-1383521,"2207 N 56TH AVE
 
 PHOENIX, AZ   85035"
MINTON FREIGHT HAULERS LLC,3867424,MC-1414829,"1092 THOMPSON RD
 
 OHATCHEE, AL   36271"
MILWAS LLC,3851945,MC-1404309,"2838 S 15TH PL
 
 MILWAUKEE, WI   53215"
MILLERS TRUCKING SERVICE LLC,3858958,MC-1409064,"6620 N 500 W
 
 LEESBURG, IN   46538"
MILLERS FREIGHT & TRANSPORTION LLC,3868002,MC-1415238,"415 S BONNER ST
 
 RUSTON, LA   71270"
MILLER TRANSIT LLC,3669950,MC-1414702,"13872 MILLER LN
 
 SUMMERDALE, AL   36580-3462"
MIKE HORTON,3867811,MC-1415097,"100 S MAIN ST
 
 HOPEWELL, VA   23860"
MID-STATES RECOVERY,3406427,MC-1097354,"3400 NEW CASTLE CT
 
 MANHATTAN, KS   66503"
MIDNIGHT HAULERS LLC,3853952,MC-1405677,"1904 E ANNA AVE
 
 LAREDO, TX   78040"
MICHIGAN MOBILITY AND LOGISTICS FREIGHT LLC,3779156,MC-1352190,"215 W MICHIGAN AVE
 
 YPSILANTI, MI   48197"
MICHAEL VITO ACEBAL-MANDINA,3866523,MC-1414228,"25 GARDNER AVE
 
 MACHIAS, ME   04654"
MICHAEL R RODGERS,3470444,MC-1415428,"119 TRUMAN ST
 
 ORAN, MO   63771-8294"
MICHAEL KESSLER,3829082,MC-1388336,"1587 OLD TRAM RD
 
 LITTLE RIVER, SC   29566"
MICHAEL JEROME OSBORNE,3160740,MC-1414623,"110 BATES HILL LN
 
 THURMOND, NC   28683"
MGM LOGISTICS LLC,3802117,MC-1368929,"19118 E GRAND CIR
 
 AURORA, CO   80015"
MGK TRUCKING LLC,3838848,MC-1403291,"12222 GOLDMINE AVE
 
 WATERFORD, CA   95386-9333"
MGD SOLUTIONS INC,3867161,MC-1414665,"750 LEXINGTON AVE FL 9
 
 NEW YORK, NY   10022"
MG TRUCK LINE,3871509,MC-1417548,"2701 34TH AVE
 
 NORTHPORT, AL   35476"
MFC INTERSTATE LOGISTICS LLC,3867221,MC-1414706,"1002 E PACIFIC ST
 
 GRAND PRAIRIE, TX   75050"
MEYER CATTLE INC,3226714,MC-1414923,"70082 HWY 5
 
 WELLING, AB   T0K 2N0"
MERIDIAN HILL TRANSPORT LLC,3864312,MC-1412648,"520 N MERIDIAN ST
 
 BRAZIL, IN   47834"
MERCER CONSTRUCTION LLC,3870868,MC-1417142,"1027 RIDGE AVE APT 203
 
 PHILADELPHIA, PA   19123"
MENARD FREIGHT SERVICES LLC,3601037,MC-1235618,"227 SOUATHGATE MALL
 
 CHAMBERSBURG, PA   17201"
MEMPHIS PORTABLE STORAGE LLC,3864403,MC-1412712,"1552 TWO PL
 
 MEMPHIS, TN   38116"
MEHLA TRUCKLINES INC,3749038,MC-1330129,"2287 N SARATOGA AVE
 
 FRESNO, CA   93722"
MEGA STAR LOGISTICS INC,3448312,MC-1121848,"269 NORTHUMBERLAND DR
 
 STEPHENSON, VA   22656"
MEDCITY PROS,3833984,MC-1391847,"2415 MAYFAIR ST SE
 
 ROCHESTER, MN   55904"
MEAN MUGGING TRUCKING LLC,3551550,MC-1189596,"45 HARRIGAN AVE
 
 MONROE TWP, NJ   08831"
MDR ELITE LOGISTICS LLC,3870231,MC-1416695,"834 WASHINGTON MEMORIAL DR
 
 SAINT CLOUD, MN   56301"
MDC FREIGHT SOLUTIONS LLC,3850405,MC-1403272,"7012 COUNTY ROAD 208
 
 EUTAW, AL   35462"
MCO EXPRESS INC,3855080,MC-1406443,"2718 MONTICELLO WAY
 
 KISSIMMEE, FL   34741"
MCKINNON TRANSPORTATION INC,746798,MC-338723,"20 LISA COURT
 
 STOCKBRIDGE, GA   30281"
MCDEES TRANSPORT LLC,3795238,MC-1415768,"24657 3RD AVENUE
 
 EATON, CO   80615-9558"
MCCALLA EXPRESS LLC,3867271,MC-1414738,"582 PRESCOTT PT
 
 HOSCHTON, GA   30548"
MCAFEE OWENS LLC,3849500,MC-1402673,"5415 SUGARLOAF PKWY STE 1108
 
 LAWRENCEVILLE, GA   30043"
MC TRANSPORT LLC,3855645,MC-1406828,"2799 RUSTIC PL APT 125
 
 LITTLE CANADA, MN   55117"
MC GEORGE LLC,3849076,MC-1402372,"1003 S 308TH ST APT 21
 
 FEDERAL WAY, WA   98003"
MC FREIGHT LLC,3868562,MC-1415599,"28808 14TH AVE S
 
 FEDERAL WAY, WA   98003"
MBN AUTO LLC,3045428,MC-1417349,"3500 S 92ND ST APT 9
 
 MILWAUKEE, WI   53228"
MBM LOGISTICS LLC,3848817,MC-1402196,"8 ROSE LN UNIT 4
 
 POUGHKEEPSIE, NY   12601"
MBBC ENTERPRISE LLC,3862069,MC-1411164,"1407 OAKS DR
 
 PASADENA, TX   77502"
MAX FREQUENCY LLC,3868275,MC-1415420,"31313 42ND PL SW
 
 FEDERAL WAY, WA   98023"
MATTHEW LOGISTICS LLC,3831018,MC-1407209,"14214 DUNCANNON DR
 
 HOUSTON, TX   77015"
MASTER TRANSPORT LLC,3859176,MC-1409209,"4558 MEAD ST
 
 DEARBORN, MI   48126"
MASS TRANSPORTATION LLC,3870283,MC-1416740,"6212 MAKEE AVE
 
 LOS ANGELES, CA   90001"
MARTINEZ HEAVY TRUCKING LLC,3871392,MC-1417482,"2313 CONNOR AVE
 
 WACO, TX   76706"
MARTIN ALEJANDRO BARRETO RAMIREZ,3865745,MC-1413704,"9651 AIRWAY RD STE E
 
 SAN DIEGO, CA   92154"
MARSTON & SON TRANSPORT LLC,3855178,MC-1406505,"8776 HIGHWAY 3
 
 PLAIN DEALING, LA   71064"
MARQUEZ EMPIRE TRUCKING CORP,3813971,MC-1377501,"207 W NEWELL AVE
 
 RUTHERFORD, NJ   07070"
MARQUEEN FREIGHT LLC,3871496,MC-1417539,"4780 I 55 N STE 100
 
 JACKSON, MS   39211"
MARLAND'S TRANSPORTATION LLC,3356674,MC-1074156,"19 WARWICK RD
 
 PAWTUCKET, RI   02861"
MARK STEVEN FRICK,1983255,MC-1414824,"2431 FM 111 WEST
 
 MARKHAM, TX   77456"
MARK GOOD,3869145,MC-1415975,"5594 RD 210
 
 PINE BLUFFS, WY   82082"
MARK ANTHONY OLIVAREZ,3625192,MC-1249957,"12375 CR 4083
 
 SCURRY, TX   75158"
MARHABA LLC,3859218,MC-1409241,"534 KENDRICK ST 2ND FLOUR
 
 PHILADELPHIA, PA   19111"
MARCO A RAMOS,3805751,MC-1415122,"435 SMOKETREE DR
 
 EL CENTRO, CA   92243"
MAOW TRUCKING LLC,3865766,MC-1413714,"710 CUMBERLAND POINTE CIR
 
 MECHANICSBURG, PA   17055"
MANSFIELD TRANSPORTATION INC,3812445,MC-1376419,"6388 LINCOLN AVE UNIT 110
 
 BUENA PARK, CA   90620"
MANN'S INC,728686,MC-1414652,"19537 VICKIE LN
 
 LITTLE ROCK, AR   72210"
MANNEUVERS LLC,3868146,MC-1415337,"1772 DUTCH VILLAGE DR
 
 HYATTSVILLE, MD   20785"
MANEUVER ALLIANCE LLC,3837541,MC-1394396,"34 CHAPMAN COURT
 
 JACKSONVILLE , NC   28540"
MALAK LLC,3869760,MC-1416378,"2706 E ARMOUR AVE
 
 SAINT FRANCIS, WI   53235"
MAKE IT MOVE TRANSPORT LLC,3871334,MC-1417446,"3555 RIVER PARK DR
 
 LEXINGTON, KY   40517"
MAHI FREIGHTLINE INC,3752594,MC-1332724,"1530 FRIENDLY ST
 
 MANTECA, CA   95337"
MAGNUM HAULING LLC,3844261,MC-1399092,"1181 JEFFRIES RD UNIT C315
 
 OSAGE BEACH, MO   65065"
MAESTRO ASSOCIATES CORP,3868983,MC-1415869,"27 N WACKER DR
 
 CHICAGO, IL   60606"
MAESON BROOKE LLC,3828702,MC-1388074,"5303 TULIP ROSE
 
 SAN ANTONIO, TX   78253"
MADE MEN TRUCKING LLC,3858981,MC-1409078,"1017 WATERVIEW DR
 
 CEDAR HILL, TX   75104"
MAD EXPRESS LOGISTIC,3752802,MC-1410343,"2426 W AUER AVE
 
 MILWAUKEE , WI   53206"
MAC-KEY FREIGHT LLC,3432342,MC-1416100,"10780 PAWNEE ST
 
 TYLER, TX   75705-6552"
MACATTACK TRUCKING,3862219,MC-1411253,"45 BRIARFIELD CV
 
 OAKLAND, TN   38060"
MA FREIGHT SOLUTIONS LLC,3869229,MC-1416029,"2215 TREASURE MOUNTAIN DR
 
 SPRING, TX   77388"
M&M SMART LOGISTICS INC,3860466,MC-1410088,"14 W STONEGATE DR
 
 PROSPECT HTS, IL   60070"
M SIMON&SON'S TRUCKING LLC,3370321,MC-1413945,"7823 FLIGHT AVE
 
 LOS ANGELES, CA   90045"
M S N TRANSPORT LLC,3497183,MC-1152982,"2500 N CYPRESS RD
 
 POMPANO BEACH, FL   33064"
M PROPERTY INVESTMENTS LLC,3357493,MC-1416988,"6S255 WEST RIDGE DRIVE
 
 AURORA, IL   60506"
M FORTUNE CONTRACTOR INC,3803595,MC-1415057,"12029 HORTON AVE
 
 DOWNEY, CA   90242-2207"
M & R TRUCKING LLC,3851195,MC-1403815,"10916 E 74TH ST
 
 RIPLEY, OK   74062"
M & N CONTAINERS CORP,3869120,MC-1415958,"17 UNION AVE
 
 LITTLE FERRY, NJ   07643"
M & M TRANSPORTATION LLC,968308,MC-411899,"412 M&M LANE
 
 FISHER, WV   26818"
M & GB TRUCKING LLC,3751762,MC-1332143,"2718 SUMMIT PKWY SW
 
 ATLANTA, GA   30331"
M & B TRUCKING & TRANSPORTING LLC,3856852,MC-1407629,"5940 YUCATAN DR
 
 ORLANDO, FL   32807"
M & A HERMANN LOGISTICS LLC,3870867,MC-215835,"519 E VARNUM ST
 
 MUNISING, MI   49862-1007"
LYNX EXPRESS LLC,3291408,MC-1414981,"13451 BIG MOUND ROAD
 
 DAVIS JUNCTION, IL   61020"
LUGA TRANSPORT LLC,3852680,MC-1404808,"10140 MARCONI DR STE F
 
 SAN DIEGO, CA   92154"
LUCKY TRUCKLINES INC,3867606,MC-1414965,"84 ATLANTIC CIR APT 102
 
 PITTSBURG, CA   94565"
LUCKY LOGISTICS LLC,3359634,MC-1404542,"5362 BIERY STREET SW
 
 NAVARRE, OH   44662"
LUCKY DAY CORP,3868135,MC-1415329,"501 AVENUE R APT 1D
 
 BROOKLYN, NY   11223"
LUCIANO MORILLO FREIGHT INC,3854456,MC-1406022,"8301 INDUSTRIAL BLVD
 
 BREINGSVILLE, PA   18031"
LT TRANSPORT LLC,3860240,MC-1412357,"1201 HAMER RD
 
 DYERSBURG, TN   38024"
LSL GROUP LLC,3857269,MC-1407926,"514 E PALMER AVE
 
 ADDISON, IL   60101"
LOYALTY COMMERCIAL TRANSPORTING LLC,3846369,MC-1400525,"2017 JASMINE RD
 
 DUNDALK, MD   21222"
LOX TRANSPORTATION LLC,3751228,MC-1331742,"1096 CINDER HILL WAY
 
 SIERRA VISTA, AZ   85635"
LOWE'S TRUCKING LLC,3695155,MC-1415258,"662 COURTLAND DR
 
 HOWARD, OH   43028-9002"
LOVVE ENTERTAINMENT LLC,3565025,MC-1198790,"2381 BOYKIN RD
 
 AUGUSTA, GA   30906"
LOUISIANA RICH LLC,3770799,MC-1388698,"3535 S SHERWOOD FOREST BLVD STE 237
 
 BATON ROUGE, LA   70816-2255"
LOS LOBOS TRANSPORTATION LLC,3824567,MC-1385119,"13309 BERMUDA PLACE DR
 
 CHESTER, VA   23836"
LOS AMIGOS MINERALS LLC,3870707,MC-1417027,"4854 N LA CHOLLA BLVD UNIT 3
 
 TUCSON, AZ   85705"
LOOP LOGISTICS INC,3862387,MC-1411354,"6936 WAMASQUID LN
 
 STOCKTON, CA   95219"
LONGAR INVESTMENTS LLC,3868572,MC-1415604,"2114 SOLAR DR
 
 MISSION, TX   78574"
LOGISTICS COURIERS ASSOCIATES,3871530,MC-1417563,"1190 WATERSIDE CIR
 
 ROCKWALL, TX   75087"
LOGISTIC LINKS SERVICES LLC,3866243,MC-1414017,"5580 CASMERE CIR
 
 SHREVEPORT, LA   71129"
LOADWOLF LLC,3865883,MC-1413801,"6361 OLMADISON PL
 
 ATLANTA, GA   30349"
LOAD RUNNERS LLC,3749962,MC-1330813,"3639 DIVISION STREET
 
 LOS ANGELES, CA   90065"
LOAD LION TRANSPORTATION LLC,3871715,MC-1417684,"118 W KENNEDY ST
 
 ROCKPORT, IN   47635"
LOA LOGISTICS LLC,3825606,MC-1385875,"1119 CLINTON ST UNIT A
 
 LINDEN, NJ   07036"
LMC EXPRESS TRANSPORT LLC,3818644,MC-1384260,"542 POINCIANNA DR
 
 SARASOTA, FL   34243-2138"
LKM ENTERPRISES LLC,2540708,MC-1416525,"1268 11TH ST
 
 BARRON, WI   54812"
LJL TRANSPORT LLC,3800545,MC-1367773,"5932 MEETING ST
 
 CONCORD, NC   28025"
LJ PRO LOGISTICS,3860442,MC-1410073,"1340 LOWELL BLVD LOWELL BLVD
 
 DENVER, CO   80204"
LIVING LEGENDS TRUCKING LLC,3860254,MC-1409949,"166 W KENNY DR
 
 HINESVILLE, GA   31313"
LIUDMILA ORLIOGLU,3820840,MC-1382557,"508 BELLA WOODS TRL
 
 INMAN, SC   29349"
LITTLE BELL CORP,3819341,MC-1381492,"1240 S DIAMOND BAR BLVD UNIT A
 
 DIAMOND BAR, CA   91765"
LITLLE RED WAGON MOVING INC,2975192,MC-1237976,"7982 MOUNT HOPE DR
 
 COLORADO SPGS , CO   80924"
LISA VANN IVEY,3850977,MC-1403676,"905 LAKE N SHORE DR
 
 MOREHEAD CITY, NC   28557"
LIQUID LOGISTICS LLC,3865403,MC-1413443,"4246 OLD FAISON RD
 
 KNIGHTDALE, NC   27545"
LION TRANSPORT LLC,3826311,MC-1386396,"3325 N NELLIS BLVD TRLR 82
 
 LAS VEGAS, NV   89115"
LINK TRANSPORT LLC,3834900,MC-1392484,"1966 GUY WAY
 
 DUNDALK, MD   21222"
LIMITLESS MILES LLC,3871491,MC-1417537,"5738 HIGH TIMBER LN
 
 INDIANAPOLIS, IN   46235"
LILALA LIMITED LIABILITY COMPANY,3832669,MC-1390936,"17304 PRESTON ROAD SUITE 800 #238
 
 DALLAS, TX   75252"
LIL ONES TRUCKING LLC,3768581,MC-1344438,"928 RACINE ST
 
 RACINE, WI   53403"
LIGHTNING CARGO TRANSPORTATION LLC,3855350,MC-1416055,"7613 N HOWARD AVE
 
 TAMPA, FL   33604-4622"
LET'S TALK MOVING LLC,3846255,MC-1400457,"1859 W CHAMBERY DR
 
 OLATHE, KS   66061"
LEONS AUTO TAGS LLC,3856869,MC-1407642,"5846 WOODCREST AVE
 
 PHILADELPHIA, PA   19131"
LEO INVESTMENT ENTERPRISES LLC,3870300,MC-1416752,"4363 GARVIE LN
 
 BROOKSHIRE, TX   77423"
LEHIGH VALLEY DELIVERY,3527350,MC-1172997,"1936 W BROAD ST
 
 BETHLEHEM, PA   18018"
LEGACY AMBITIONS LLC,3750818,MC-1415299,"74 TERRA BELLA DR
 
 MANUEL, TX   77578"
LEE'S TRANSPORTATION LLC,3775225,MC-1349338,"25 WATER ST
 
 HACKETTSTOWN, NJ   07840"
LD OIL SERVICE LLC,3610593,MC-1229692,"900 N NAVAJO AVE
 
 ODESSA, TX   79763"
LB TRANSPORTS LLC,3718179,MC-1307679,"5410 AMYX LN
 
 ANDERSON, CA   96007"
LAWRENCE AND SONS TRANSPORTATION LLC,3864062,MC-1412502,"20819 LITTLESTONE RD APT 14
 
 HARPER WOODS, MI   48225"
LAUREN FLORIDA TRUCKS INC,3539909,MC-1407795,"2515 NW 10TH AVE APT 205
 
 MIAMI, FL   33127-4078"
LAUREL MOUNTAIN TRANSPORT LLC,3868783,MC-1415737,"117 HILLCREST DR
 
 HOMESTEAD, PA   15120"
LATHAM TRANSPORTS & CRANE SERVICES LLC,3861656,MC-1414877,"13397 HIGHWAY 234
 
 GOLD HILL, OR   97525"
LASKO TRANSPORTATION LLC,3862514,MC-1411432,"246 OLD QUARRY TRL
 
 LITCHFIELD, IL   62056"
LANGLEY'S LOGISTICS LLC,3845493,MC-1399936,"15 CARLA WAY
 
 LAWRENCE TWP, NJ   08648"
LANCRU TRANSPORT LLC,3859696,MC-1409557,"1950 BANKS RD
 
 MARGATE, FL   33063"
LAKELAND CARRIERS LLC,3796215,MC-1390286,"4446 S 314TH ST
 
 AUBURN, WA   98001-3762"
LAIRD TRANSPORTATION LLC,3857530,MC-1408104,"5235 HARROW DR
 
 JACKSON, MS   39211"
LA TRANSIT & LOGISTICS LLC,3847086,MC-1401025,"1249 SW ASTURIA AVE
 
 PORT ST LUCIE, FL   34953"
LA SERVICES LLC,3786793,MC-1412861,"5102 LOS NOGALES DR
 
 CARLSBAD, NM   88220-9319"
LA PAZ BROKER LLC,3870358,MC-1416797,"12673 COULSON ST
 
 HOUSTON, TX   77015"
LA MULA TRUCKING LLC,3749221,MC-1415613,"511 FRESNO DR
 
 EDINBURG, TX   78542-7673"
LA FAMILIA TRUCKING LLC,3868661,MC-1415656,"6909 QUAY ST
 
 ARVADA, CO   80003"
